annee,mois,regroupement2,valeur_tot_mg_fr,valeur_moy,indice_isee,indice_mg,quotas_date_debut,quotas_date_fin,quotas_contingent_t,quotas_realise_t,regroupement1,date_arrondie,besoin_marche_t,type_max,cyclone,nom,name,value
2022,4,TOTAL LEGUMES,52174405,540.1577578875061,133.74250922475994,147,2022-04-16,2022-05-15,993.29,366.8769999999999,Total legumes,2022-04-01,751,NA,NA,NA,"Volume écoulé par
le marché de gros",96591.05
2022,4,TOTAL LEGUMES,52174405,540.1577578875061,133.74250922475994,147,2022-04-16,2022-05-15,993.29,366.8769999999999,Total legumes,2022-04-01,751,NA,NA,NA,"Besoin estimé
du marché",751000
2022,4,TOTAL LEGUMES,52174405,540.1577578875061,133.74250922475994,147,2022-04-16,2022-05-15,993.29,366.8769999999999,Total legumes,2022-04-01,751,NA,NA,NA,"Volumes importés
avec quotas",366876.9999999999
2022,4,TOTAL LEGUMES,52174405,540.1577578875061,133.74250922475994,147,2022-04-16,2022-05-15,993.29,366.8769999999999,Total legumes,2022-04-01,751,NA,NA,NA,Quotas autorisés,993290
2022,3,TOTAL LEGUMES,59675407,561.4392598366451,130.63545428816784,138.80330006798062,2022-03-16,2022-04-15,1117.7999999999995,350.992,Total legumes,2022-03-01,751,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",339157
2022,3,TOTAL LEGUMES,59675407,561.4392598366451,130.63545428816784,138.80330006798062,2022-03-16,2022-04-15,1117.7999999999995,350.992,Total legumes,2022-03-01,751,NA,NA,NA,"Volume écoulé par
le marché de gros",106290.05
2022,3,TOTAL LEGUMES,59675407,561.4392598366451,130.63545428816784,138.80330006798062,2022-03-16,2022-04-15,1117.7999999999995,350.992,Total legumes,2022-03-01,751,NA,NA,NA,"Besoin estimé
du marché",751000
2022,3,TOTAL LEGUMES,59675407,561.4392598366451,130.63545428816784,138.80330006798062,2022-03-16,2022-04-15,1117.7999999999995,350.992,Total legumes,2022-03-01,751,NA,NA,NA,"Volumes importés
avec quotas",350992
2022,3,TOTAL LEGUMES,59675407,561.4392598366451,130.63545428816784,138.80330006798062,2022-03-16,2022-04-15,1117.7999999999995,350.992,Total legumes,2022-03-01,751,NA,NA,NA,Quotas autorisés,1117799.9999999995
2022,7,TOTAL LEGUMES,68039515,461.5997367153105,122.86855988310438,116.21493317318404,2022-07-16,2022-08-15,469.47,199.28900000000004,Total legumes,2022-07-01,751,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",564254.5
2022,7,TOTAL LEGUMES,68039515,461.5997367153105,122.86855988310438,116.21493317318404,2022-07-16,2022-08-15,469.47,199.28900000000004,Total legumes,2022-07-01,751,NA,NA,NA,"Volume écoulé par
le marché de gros",147399.38
2022,7,TOTAL LEGUMES,68039515,461.5997367153105,122.86855988310438,116.21493317318404,2022-07-16,2022-08-15,469.47,199.28900000000004,Total legumes,2022-07-01,751,NA,NA,NA,"Besoin estimé
du marché",751000
2022,7,TOTAL LEGUMES,68039515,461.5997367153105,122.86855988310438,116.21493317318404,2022-07-16,2022-08-15,469.47,199.28900000000004,Total legumes,2022-07-01,751,NA,NA,NA,"Volumes importés
avec quotas",199289.00000000006
2022,7,TOTAL LEGUMES,68039515,461.5997367153105,122.86855988310438,116.21493317318404,2022-07-16,2022-08-15,469.47,199.28900000000004,Total legumes,2022-07-01,751,NA,NA,NA,Quotas autorisés,469470
2023,6,TOTAL LEGUMES,63893732,484.0015874385403,138.14484504165807,134.17161962923703,2023-06-16,2023-07-15,626.8899999999998,359.308,Total legumes,2023-06-01,751,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",403144
2023,6,TOTAL LEGUMES,63893732,484.0015874385403,138.14484504165807,134.17161962923703,2023-06-16,2023-07-15,626.8899999999998,359.308,Total legumes,2023-06-01,751,NA,NA,NA,"Volume écoulé par
le marché de gros",132011.41
2023,6,TOTAL LEGUMES,63893732,484.0015874385403,138.14484504165807,134.17161962923703,2023-06-16,2023-07-15,626.8899999999998,359.308,Total legumes,2023-06-01,751,NA,NA,NA,"Besoin estimé
du marché",751000
2023,6,TOTAL LEGUMES,63893732,484.0015874385403,138.14484504165807,134.17161962923703,2023-06-16,2023-07-15,626.8899999999998,359.308,Total legumes,2023-06-01,751,NA,NA,NA,"Volumes importés
avec quotas",359308
2023,6,TOTAL LEGUMES,63893732,484.0015874385403,138.14484504165807,134.17161962923703,2023-06-16,2023-07-15,626.8899999999998,359.308,Total legumes,2023-06-01,751,NA,NA,NA,Quotas autorisés,626889.9999999998
2023,2,TOTAL LEGUMES,43897246,510.15606641509794,138.7351480956996,113.4491818072672,2023-02-16,2023-03-15,959.35,536.538,Total legumes,2023-02-01,751,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",310164
2023,2,TOTAL LEGUMES,43897246,510.15606641509794,138.7351480956996,113.4491818072672,2023-02-16,2023-03-15,959.35,536.538,Total legumes,2023-02-01,751,NA,NA,NA,"Volume écoulé par
le marché de gros",86046.69999999998
2023,2,TOTAL LEGUMES,43897246,510.15606641509794,138.7351480956996,113.4491818072672,2023-02-16,2023-03-15,959.35,536.538,Total legumes,2023-02-01,751,NA,NA,NA,"Besoin estimé
du marché",751000
2023,2,TOTAL LEGUMES,43897246,510.15606641509794,138.7351480956996,113.4491818072672,2023-02-16,2023-03-15,959.35,536.538,Total legumes,2023-02-01,751,NA,NA,NA,"Volumes importés
avec quotas",536538
2023,2,TOTAL LEGUMES,43897246,510.15606641509794,138.7351480956996,113.4491818072672,2023-02-16,2023-03-15,959.35,536.538,Total legumes,2023-02-01,751,NA,NA,NA,Quotas autorisés,959350
2023,5,TOTAL LEGUMES,59405577,503.0698096262771,143.34122826872488,128.00911118681103,2023-05-16,2023-06-15,787.9929999999998,588.9710000000001,Total legumes,2023-05-01,751,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",394799
2023,5,TOTAL LEGUMES,59405577,503.0698096262771,143.34122826872488,128.00911118681103,2023-05-16,2023-06-15,787.9929999999998,588.9710000000001,Total legumes,2023-05-01,751,NA,NA,NA,"Volume écoulé par
le marché de gros",118086.15
2023,5,TOTAL LEGUMES,59405577,503.0698096262771,143.34122826872488,128.00911118681103,2023-05-16,2023-06-15,787.9929999999998,588.9710000000001,Total legumes,2023-05-01,751,NA,NA,NA,"Besoin estimé
du marché",751000
2023,5,TOTAL LEGUMES,59405577,503.0698096262771,143.34122826872488,128.00911118681103,2023-05-16,2023-06-15,787.9929999999998,588.9710000000001,Total legumes,2023-05-01,751,NA,NA,NA,"Volumes importés
avec quotas",588971.0000000001
2023,5,TOTAL LEGUMES,59405577,503.0698096262771,143.34122826872488,128.00911118681103,2023-05-16,2023-06-15,787.9929999999998,588.9710000000001,Total legumes,2023-05-01,751,NA,NA,NA,Quotas autorisés,787992.9999999998
2012,11,TOTAL FRUITS (HORS VANILLE),62864728,260.6263499477095,98.7450169215633,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-11-01,410,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",497317
