annee,date_arrondie,sous_famille,categorie,prix_moyen
2017,2017-03-01,salade et tomate,Prix moyen du produit local en magasin,693.9121951219512
2017,2017-04-01,agrume,Prix moyen du produit local en magasin,443.57608695652175
2017,2017-04-01,"ail, oignon, échalote",Prix moyen du produit importé en magasin,405.77064220183485
2017,2017-04-01,"ail, oignon, échalote",Prix moyen du produit local en magasin,264.84276729559747
2017,2017-04-01,"aubergine, courgette, poivron",Prix moyen du produit importé en magasin,944.7916666666666
2017,2017-04-01,"aubergine, courgette, poivron",Prix moyen du produit local en magasin,800.8630136986301
2017,2017-04-01,"banane, kiwi",Prix moyen du produit local en magasin,559.3934426229508
2017,2017-04-01,"carotte, pomme de terre",Prix moyen du produit importé en magasin,289.3833333333333
2017,2017-04-01,"carotte, pomme de terre",Prix moyen du produit local en magasin,478.3833333333333
2017,2017-04-01,"chou, poireau, navet, céleri",Prix moyen du produit importé en magasin,593.9964788732394
2017,2017-04-01,"chou, poireau, navet, céleri",Prix moyen du produit local en magasin,626.7421203438396
2017,2017-04-01,"concombre, avocat, betterave, radis",Prix moyen du produit importé en magasin,364.375
2017,2017-04-01,"concombre, avocat, betterave, radis",Prix moyen du produit local en magasin,307.61494252873564
2017,2017-04-01,fruit exotique,Prix moyen du produit local en magasin,537.6410256410256
2017,2017-04-01,légume frais : autres,Prix moyen du produit local en magasin,350.8333333333333
2017,2017-04-01,"légume vert, asperge",Prix moyen du produit importé en magasin,911.7708333333334
2017,2017-04-01,"légume vert, asperge",Prix moyen du produit local en magasin,890.9375
2017,2017-04-01,"melon, pastèque",Prix moyen du produit local en magasin,340.20754716981133
2017,2017-04-01,salade et tomate,Prix moyen du produit importé en magasin,707
2017,2017-04-01,salade et tomate,Prix moyen du produit local en magasin,715.854054054054
2017,2017-05-01,"abricot, pêche, nectarine, prune",Prix moyen du produit importé en magasin,695
2017,2017-05-01,agrume,Prix moyen du produit importé en magasin,462.57142857142856
2017,2017-05-01,agrume,Prix moyen du produit local en magasin,480.4551971326165
2017,2017-05-01,"ail, oignon, échalote",Prix moyen du produit importé en magasin,372.0486111111111
2017,2017-05-01,"ail, oignon, échalote",Prix moyen du produit local en magasin,266.0480769230769
2017,2017-05-01,"aubergine, courgette, poivron",Prix moyen du produit importé en magasin,897.3532608695652
2017,2017-05-01,"aubergine, courgette, poivron",Prix moyen du produit local en magasin,776.804347826087
2017,2017-05-01,"banane, kiwi",Prix moyen du produit local en magasin,569.4651162790698
2017,2017-05-01,"carotte, pomme de terre",Prix moyen du produit importé en magasin,297.1358024691358
2017,2017-05-01,"carotte, pomme de terre",Prix moyen du produit local en magasin,506.03592814371257
2017,2017-05-01,"chou, poireau, navet, céleri",Prix moyen du produit importé en magasin,641.7362637362637
2017,2017-05-01,"chou, poireau, navet, céleri",Prix moyen du produit local en magasin,668.2117903930131
2017,2017-05-01,"concombre, avocat, betterave, radis",Prix moyen du produit importé en magasin,386.0409836065574
2017,2017-05-01,"concombre, avocat, betterave, radis",Prix moyen du produit local en magasin,324.9218106995885
2017,2017-05-01,fruit exotique,Prix moyen du produit local en magasin,574.8756476683938
2017,2017-05-01,légume frais : autres,Prix moyen du produit local en magasin,349.6984126984127
2017,2017-05-01,"légume vert, asperge",Prix moyen du produit importé en magasin,895.2786885245902
2017,2017-05-01,"légume vert, asperge",Prix moyen du produit local en magasin,871.9166666666666
2017,2017-05-01,"melon, pastèque",Prix moyen du produit importé en magasin,635.4166666666666
2017,2017-05-01,"melon, pastèque",Prix moyen du produit local en magasin,389.968085106383
2017,2017-05-01,salade et tomate,Prix moyen du produit importé en magasin,876.6666666666666
2017,2017-05-01,salade et tomate,Prix moyen du produit local en magasin,747.5471698113207
2017,2017-06-01,"abricot, pêche, nectarine, prune",Prix moyen du produit importé en magasin,695
2017,2017-06-01,agrume,Prix moyen du produit importé en magasin,490.2269503546099
2017,2017-06-01,agrume,Prix moyen du produit local en magasin,489.1602787456446
2017,2017-06-01,"ail, oignon, échalote",Prix moyen du produit importé en magasin,404.2181818181818
2017,2017-06-01,"ail, oignon, échalote",Prix moyen du produit local en magasin,265.2111801242236
2017,2017-06-01,"aubergine, courgette, poivron",Prix moyen du produit importé en magasin,985.858064516129
2017,2017-06-01,"aubergine, courgette, poivron",Prix moyen du produit local en magasin,818.5858585858585
2017,2017-06-01,"banane, kiwi",Prix moyen du produit local en magasin,574.9384615384615
2017,2017-06-01,"carotte, pomme de terre",Prix moyen du produit importé en magasin,264.60655737704917
2017,2017-06-01,"carotte, pomme de terre",Prix moyen du produit local en magasin,485.5241935483871
2017,2017-06-01,"chou, poireau, navet, céleri",Prix moyen du produit importé en magasin,722.2126245847176
2017,2017-06-01,"chou, poireau, navet, céleri",Prix moyen du produit local en magasin,669.6219839142091
2017,2017-06-01,"concombre, avocat, betterave, radis",Prix moyen du produit importé en magasin,385.74747474747477
2017,2017-06-01,"concombre, avocat, betterave, radis",Prix moyen du produit local en magasin,314.8494623655914
2017,2017-06-01,fruit exotique,Prix moyen du produit local en magasin,651.1297709923664
2017,2017-06-01,herbe aromatique,Prix moyen du produit local en magasin,162
2017,2017-06-01,légume frais : autres,Prix moyen du produit local en magasin,348.18518518518516
2017,2017-06-01,"légume vert, asperge",Prix moyen du produit importé en magasin,861.0392156862745
2017,2017-06-01,"légume vert, asperge",Prix moyen du produit local en magasin,822.1875
2017,2017-06-01,"melon, pastèque",Prix moyen du produit importé en magasin,828.204081632653
2017,2017-06-01,"melon, pastèque",Prix moyen du produit local en magasin,549.561403508772
2017,2017-06-01,salade et tomate,Prix moyen du produit importé en magasin,1043.75
2017,2017-06-01,salade et tomate,Prix moyen du produit local en magasin,723.8226600985222
2017,2017-07-01,"abricot, pêche, nectarine, prune",Prix moyen du produit importé en magasin,695
2017,2017-07-01,agrume,Prix moyen du produit importé en magasin,505.6720430107527
2017,2017-07-01,agrume,Prix moyen du produit local en magasin,553.7213622291022
2017,2017-07-01,"ail, oignon, échalote",Prix moyen du produit importé en magasin,407.76
2017,2017-07-01,"ail, oignon, échalote",Prix moyen du produit local en magasin,281.7731092436975
2017,2017-07-01,"aubergine, courgette, poivron",Prix moyen du produit importé en magasin,1029.7429906542056
2017,2017-07-01,"aubergine, courgette, poivron",Prix moyen du produit local en magasin,819.8979591836735
2017,2017-07-01,"banane, kiwi",Prix moyen du produit local en magasin,581.0227272727273
2017,2017-07-01,"carotte, pomme de terre",Prix moyen du produit importé en magasin,289.65432098765433
2017,2017-07-01,"carotte, pomme de terre",Prix moyen du produit local en magasin,443.05384615384617
2017,2017-07-01,"chou, poireau, navet, céleri",Prix moyen du produit importé en magasin,591.6768292682926
2017,2017-07-01,"chou, poireau, navet, céleri",Prix moyen du produit local en magasin,510.58472553699283
2017,2017-07-01,"concombre, avocat, betterave, radis",Prix moyen du produit importé en magasin,326.00840336134456
2017,2017-07-01,"concombre, avocat, betterave, radis",Prix moyen du produit local en magasin,278.74893617021274
2017,2017-07-01,fruit exotique,Prix moyen du produit local en magasin,640.1851851851852
2017,2017-07-01,légume frais : autres,Prix moyen du produit local en magasin,332.9166666666667
2017,2017-07-01,"légume vert, asperge",Prix moyen du produit importé en magasin,889.9019607843137
2017,2017-07-01,"légume vert, asperge",Prix moyen du produit local en magasin,863.8
2017,2017-07-01,"melon, pastèque",Prix moyen du produit importé en magasin,736.0833333333334
2017,2017-07-01,"melon, pastèque",Prix moyen du produit local en magasin,527.723880597015
2017,2017-07-01,salade et tomate,Prix moyen du produit local en magasin,615.0479704797048
2017,2017-08-01,"abricot, pêche, nectarine, prune",Prix moyen du produit importé en magasin,749.5652173913044
2017,2017-08-01,agrume,Prix moyen du produit importé en magasin,438.76237623762376
2017,2017-08-01,agrume,Prix moyen du produit local en magasin,494.7543859649123
2017,2017-08-01,"ail, oignon, échalote",Prix moyen du produit importé en magasin,461.69
2017,2017-08-01,"ail, oignon, échalote",Prix moyen du produit local en magasin,329.85
2017,2017-08-01,"aubergine, courgette, poivron",Prix moyen du produit importé en magasin,1021.044776119403
2017,2017-08-01,"aubergine, courgette, poivron",Prix moyen du produit local en magasin,755.8540925266904
2017,2017-08-01,"banane, kiwi",Prix moyen du produit local en magasin,585.7894736842105
2017,2017-08-01,"carotte, pomme de terre",Prix moyen du produit importé en magasin,386.88235294117646
2017,2017-08-01,"carotte, pomme de terre",Prix moyen du produit local en magasin,481.4605263157895
2017,2017-08-01,"chou, poireau, navet, céleri",Prix moyen du produit importé en magasin,561.324200913242
2017,2017-08-01,"chou, poireau, navet, céleri",Prix moyen du produit local en magasin,477.6241610738255
2017,2017-08-01,"concombre, avocat, betterave, radis",Prix moyen du produit importé en magasin,300.4861111111111
2017,2017-08-01,"concombre, avocat, betterave, radis",Prix moyen du produit local en magasin,246.71794871794873
2017,2017-08-01,fruit exotique,Prix moyen du produit local en magasin,551.7121212121212
2017,2017-08-01,légume frais : autres,Prix moyen du produit local en magasin,295.4166666666667
