geo_pict,time_period,imports_t,type,obs_value,Name,import_hab_kg
PW,1999,140,Légumes et tubercules,18790,Palau,7.450771687067589
PW,2000,78,Légumes et tubercules,19180,Palau,4.0667361835245055
PW,2001,12,Légumes et tubercules,19330,Palau,0.620796689084325
PW,2002,8,Légumes et tubercules,19470,Palau,0.4108885464817668
PW,2003,37,Légumes et tubercules,19620,Palau,1.8858307849133538
PW,2004,4,Légumes et tubercules,19760,Palau,0.20242914979757085
PW,2005,3,Légumes et tubercules,19910,Palau,0.15067805123053743
PW,2006,11,Légumes et tubercules,20020,Palau,0.5494505494505495
PW,2007,1110,Légumes et tubercules,20130,Palau,55.14157973174367
PW,2008,886,Légumes et tubercules,20250,Palau,43.75308641975308
PW,2009,729,Légumes et tubercules,20360,Palau,35.80550098231827
PW,2010,846,Légumes et tubercules,20470,Palau,41.328773815339524
PW,2011,1001,Légumes et tubercules,19920,Palau,50.25100401606426
PW,2012,775,Légumes et tubercules,19370,Palau,40.01032524522458
PW,2013,896,Légumes et tubercules,18820,Palau,47.60892667375133
PW,2014,1191,Légumes et tubercules,18270,Palau,65.1888341543514
PW,2015,1113,Légumes et tubercules,17724,Palau,62.796208530805686
PW,2016,1440,Légumes et tubercules,17772,Palau,81.02633355840648
PW,2017,1387,Légumes et tubercules,17821,Palau,77.82952696257225
PW,2018,1462,Légumes et tubercules,17861,Palau,81.85431946699514
PF,1995,2153,Fruits,215200,Polynésie Française,10.0046468401487
PF,1996,2779,Fruits,219600,Polynésie Française,12.654826958105646
PF,1997,2639,Fruits,224000,Polynésie Française,11.78125
PF,1998,3243,Fruits,228500,Polynésie Française,14.192560175054705
PF,1999,3208,Fruits,232900,Polynésie Française,13.774151996565049
PF,2000,3088,Fruits,237300,Polynésie Française,13.013063632532658
PF,2001,3237,Fruits,240800,Polynésie Française,13.442691029900331
PF,2002,3560,Fruits,244300,Polynésie Française,14.572247237003683
PF,2003,4027,Fruits,247900,Polynésie Française,16.244453408632513
PF,2004,4806,Fruits,251400,Polynésie Française,19.116945107398568
PF,2005,4627,Fruits,254900,Polynésie Française,18.152216555511966
PF,2006,4038,Fruits,257500,Polynésie Française,15.681553398058254
PF,2007,4242,Fruits,260100,Polynésie Française,16.30911188004614
PF,2008,4193,Fruits,262600,Polynésie Française,15.967250571210966
PF,2009,4117,Fruits,265200,Polynésie Française,15.524132730015083
PF,2010,3342,Fruits,267800,Polynésie Française,12.479462285287529
PF,2011,3303,Fruits,269000,Polynésie Française,12.278810408921935
PF,2012,3674,Fruits,270100,Polynésie Française,13.60236949278045
PF,2013,3722,Fruits,271300,Polynésie Française,13.719130114264651
PF,2014,3809,Fruits,272400,Polynésie Française,13.983113069016152
PF,2015,3837,Fruits,273600,Polynésie Française,14.024122807017543
PF,2016,3497,Fruits,274700,Polynésie Française,12.730251183108846
PF,2017,3331,Fruits,275899,Polynésie Française,12.073258692492542
PF,2018,3899,Fruits,276908,Polynésie Française,14.080488826613895
SB,1995,32,Fruits,359200,Îles Salomon,0.08908685968819599
SB,1996,100,Fruits,369900,Îles Salomon,0.2703433360367667
SB,1997,39,Fruits,380600,Îles Salomon,0.1024697845507094
SB,1998,37,Fruits,391200,Îles Salomon,0.09458077709611451
SB,1999,52,Fruits,401900,Îles Salomon,0.12938541925852204
SB,2000,19,Fruits,412600,Îles Salomon,0.046049442559379546
SB,2001,11,Fruits,424100,Îles Salomon,0.025937278943645364
SB,2002,24,Fruits,435500,Îles Salomon,0.05510907003444317
SB,2003,64,Fruits,447000,Îles Salomon,0.14317673378076062
SB,2004,68,Fruits,458400,Îles Salomon,0.14834205933682373
SB,2005,81,Fruits,469900,Îles Salomon,0.17237710151095978
SB,2006,118,Fruits,490300,Îles Salomon,0.24066897817662655
SB,2007,77,Fruits,510700,Îles Salomon,0.1507734482083415
SB,2008,78,Fruits,531100,Îles Salomon,0.14686499717567314
SB,2009,183,Fruits,551523,Îles Salomon,0.3318084649234937
SB,2010,117,Fruits,565435,Îles Salomon,0.20692033567076676
SB,2011,155,Fruits,579468,Îles Salomon,0.2674867292067897
SB,2012,200,Fruits,593614,Îles Salomon,0.33691927751030126
SB,2013,462,Fruits,607857,Îles Salomon,0.7600471821497491
SB,2014,360,Fruits,622225,Îles Salomon,0.5785688456747962
SB,2015,283,Fruits,636712,Îles Salomon,0.44447096960635263
SB,2016,369,Fruits,651348,Îles Salomon,0.5665174376830818
SB,2017,290,Fruits,666161,Îles Salomon,0.43533019795514893
SB,2018,340,Fruits,681184,Îles Salomon,0.4991309249776859
MH,1995,16,Fruits,51000,Îles Marshall,0.3137254901960784
MH,1996,0,Fruits,51240,Îles Marshall,0
MH,1998,9,Fruits,51720,Îles Marshall,0.17401392111368907
MH,1999,28,Fruits,51960,Îles Marshall,0.5388760585065434
MH,2000,30,Fruits,52200,Îles Marshall,0.5747126436781609
MH,2001,65,Fruits,52180,Îles Marshall,1.245688003066309
MH,2002,117,Fruits,52160,Îles Marshall,2.2430981595092025
MH,2003,22,Fruits,52140,Îles Marshall,0.4219409282700422
MH,2004,24,Fruits,52120,Îles Marshall,0.4604758250191865
MH,2005,49,Fruits,52100,Îles Marshall,0.9404990403071017
MH,2006,93,Fruits,52160,Îles Marshall,1.7829754601226993
MH,2007,28,Fruits,52220,Îles Marshall,0.5361930294906166
MH,2008,52,Fruits,52280,Îles Marshall,0.9946442234123948
MH,2009,37,Fruits,52340,Îles Marshall,0.7069163163928162
MH,2010,29,Fruits,52400,Îles Marshall,0.5534351145038168
MH,2011,40,Fruits,53729,Îles Marshall,0.7444769119097694
MH,2012,52,Fruits,53989,Îles Marshall,0.963159162051529
MH,2013,55,Fruits,54202,Îles Marshall,1.0147227039592635
MH,2014,22,Fruits,54375,Îles Marshall,0.4045977011494253
MH,2015,48,Fruits,54499,Îles Marshall,0.880750105506523
MH,2016,37,Fruits,54584,Îles Marshall,0.67785431628316
MH,2017,25,Fruits,54630,Îles Marshall,0.45762401610836534
MH,2018,67,Fruits,54645,Îles Marshall,1.2260957086650197
