Province,N_region,N_group_prod veget,N_productions vegetales,Animaux,Ceremonie,Conso,Dons_reguliers,Perdue,Semences,Total
Province Nord,Nord Est,Tubercule,Taro bourbon,0,0,2,1,1,1,5
Province Nord,Nord Est,Tubercule,Taro d'eau,0,61,68,19,6,8,162
Province Nord,Nord Est,Tubercule,Taro de montagne,0,15,31,9,5,2,62
Province Nord,Nord Minier,Arbre fruitier,Autres fruits (à préciser),0,0,0,0,0,0,0
Province Nord,Nord Minier,Arbre fruitier,Avocat,0,0,13,4,5,0,22
Province Nord,Nord Minier,Arbre fruitier,Carambole,3,0,0,0,0,0,3
Province Nord,Nord Minier,Arbre fruitier,Cerisier,0,0,0,0,0,0,0
Province Nord,Nord Minier,Arbre fruitier,Citron et lime,0,0,16,9,9,0,34
Province Nord,Nord Minier,Arbre fruitier,Combava,0,3,0,0,2,0,5
Province Nord,Nord Minier,Arbre fruitier,Corossol,2,0,7,2,6,0,17
Province Nord,Nord Minier,Arbre fruitier,Cœur de bœuf,0,0,0,0,0,0,0
Province Nord,Nord Minier,Arbre fruitier,Fruit à pain,0,0,0,0,0,0,0
Province Nord,Nord Minier,Arbre fruitier,Goyave,1,0,2,0,2,0,5
Province Nord,Nord Minier,Arbre fruitier,Jacques,0,1,13,4,10,0,28
Province Nord,Nord Minier,Arbre fruitier,Jamelonier,0,0,0,0,0,0,0
Province Nord,Nord Minier,Arbre fruitier,Kaki,0,0,0,0,0,0,0
Province Nord,Nord Minier,Arbre fruitier,Litchi,0,0,18,9,2,0,29
Province Nord,Nord Minier,Arbre fruitier,Mandarine,0,0,29,14,10,0,53
Province Nord,Nord Minier,Arbre fruitier,Mangue,50,1,55,28,79,1,214
Province Nord,Nord Minier,Arbre fruitier,Murier,0,0,0,0,0,0,0
Province Nord,Nord Minier,Arbre fruitier,Orange,0,0,17,12,8,0,37
Province Nord,Nord Minier,Arbre fruitier,Pamplemousse,0,0,9,6,10,0,25
Province Nord,Nord Minier,Arbre fruitier,Papaye,3,0,25,8,10,0,46
Province Nord,Nord Minier,Arbre fruitier,Pomme cannelle,0,0,0,0,0,0,0
Province Nord,Nord Minier,Arbre fruitier,Pomme citerne,1,0,4,3,2,0,10
Province Nord,Nord Minier,Arbre fruitier,Pomme kanak,1,1,3,1,2,0,8
Province Nord,Nord Minier,Arbre fruitier,Pomme rose,0,0,0,0,0,0,0
Province Nord,Nord Minier,Arbre fruitier,Pêche,0,0,1,0,1,0,2
Province Nord,Nord Minier,Arbre fruitier,Tamarin,0,0,0,0,0,0,0
Province Nord,Nord Minier,Autre,Autre produit végétal (à préciser),0,0,0,0,0,0,0
Province Nord,Nord Minier,Banane dessert,Banane dessert,5,197,296,109,235,1,843
Province Nord,Nord Minier,Banane poingo,Banane poingo,0,35,62,15,17,0,129
Province Nord,Nord Minier,Cocotier,Cocotier,129,15,98,46,77,0,365
Province Nord,Nord Minier,Cultures spéciales,Autre culture spéciale (à préciser),0,0,0,0,0,0,0
Province Nord,Nord Minier,Cultures spéciales,Café arabica,0,0,0,0,0,0,0
Province Nord,Nord Minier,Cultures spéciales,Café robusta,0,0,1,0,0,0,1
Province Nord,Nord Minier,Cultures spéciales,Canne à sucre,1,5,22,5,3,0,36
Province Nord,Nord Minier,Cultures spéciales,Citronnelle,0,0,0,0,0,0,0
Province Nord,Nord Minier,Cultures spéciales,Vanille,0,0,0,0,0,0,0
Province Nord,Nord Minier,Légume & fruit plein champ,Ambrevade,0,0,2,0,1,0,3
Province Nord,Nord Minier,Légume & fruit plein champ,Ananas,0,0,35,20,11,0,66
Province Nord,Nord Minier,Légume & fruit plein champ,Aubergine,0,0,0,0,0,0,0
Province Nord,Nord Minier,Légume & fruit plein champ,Autres légumes (à préciser),0,0,1,0,1,0,2
Province Nord,Nord Minier,Légume & fruit plein champ,Brèdes,0,0,0,0,0,0,0
Province Nord,Nord Minier,Légume & fruit plein champ,Carotte,0,0,1,0,0,0,1
